TStamp Australia/Sydney	Latitude [deg]	Longitude [deg]	Altitude [above WGS84]	Accuracy [m 68% confidence radius]
1487835184000	-37.814305	145.160850	123.700000	5.500000
1487835185000	-37.814308	145.160848	123.800000	5.500000
1487835186000	-37.814315	145.160843	123.900000	5.600000
1487835187000	-37.814315	145.160838	123.800000	5.600000
1487835188000	-37.814315	145.160838	123.800000	5.600000
1487835189000	-37.814315	145.160838	123.800000	5.600000
1487835190000	-37.814315	145.160838	123.800000	5.600000
1487835191000	-37.814298	145.160820	123.900000	5.700000
1487835192000	-37.814298	145.160818	123.900000	5.700000
1487835193000	-37.814295	145.160815	123.800000	5.700000
1487835194000	-37.814300	145.160810	123.800000	5.800000
1487835195000	-37.814312	145.160800	123.800000	5.800000
1487835196000	-37.814307	145.160818	123.800000	5.800000
1487835197000	-37.814307	145.160818	123.800000	5.800000
1487835198000	-37.814307	145.160818	123.800000	5.800000
1487835199000	-37.814327	145.160852	123.800000	5.900000
1487835200000	-37.814327	145.160850	123.700000	5.900000
1487835201000	-37.814335	145.160842	123.700000	5.900000
1487835202000	-37.814330	145.160850	123.700000	5.800000
1487835203000	-37.814357	145.160823	123.700000	5.800000
1487835204000	-37.814357	145.160823	123.700000	5.700000
1487835205000	-37.814357	145.160823	123.700000	5.700000
1487835206000	-37.814357	145.160823	123.700000	5.700000
1487835207000	-37.814357	145.160823	123.700000	5.600000
1487835208000	-37.814357	145.160823	123.700000	5.600000
1487835209000	-37.814357	145.160823	123.700000	5.600000
1487835210000	-37.814357	145.160823	123.700000	5.600000
1487835211000	-37.814357	145.160823	123.700000	5.600000
1487835212000	-37.814357	145.160823	123.700000	5.600000
1487835213000	-37.814357	145.160823	123.700000	5.600000
1487835214000	-37.814357	145.160823	123.700000	5.500000
1487835215000	-37.814357	145.160823	123.700000	5.500000
1487835216000	-37.814357	145.160823	123.700000	5.500000
1487835217000	-37.814357	145.160823	123.700000	5.500000
1487835218000	-37.814357	145.160823	123.700000	5.500000
1487835219000	-37.814357	145.160823	123.700000	5.500000
1487835220000	-37.814357	145.160823	123.700000	5.500000
1487835221000	-37.814357	145.160823	123.700000	5.500000
1487835222000	-37.814357	145.160823	123.700000	5.500000
1487835223000	-37.814357	145.160823	123.700000	5.500000
1487835224000	-37.814357	145.160823	123.700000	5.500000
1487835225000	-37.814357	145.160823	123.700000	5.200000
1487835226000	-37.814357	145.160823	123.700000	5.300000
1487835227000	-37.814357	145.160823	123.700000	5.300000
1487835228000	-37.814357	145.160823	123.700000	5.300000
1487835229000	-37.814357	145.160823	123.700000	5.400000
