TStamp Australia/Hobart	Latitude [deg]	Longitude [deg]	Altitude [above WGS84]	Accuracy [m 68% confidence radius]	Speed [m/s]	Bearing [deg]
1503649575000	-37.818078	145.157448	132.400000	5.400000	2.671408	65.489998
1503649576000	-37.818075	145.157498	132.500000	5.400000	2.975609	76.360001
1503649577000	-37.818068	145.157545	132.200000	5.400000	3.237603	71.040001
1503649578000	-37.818062	145.157587	132.700000	5.400000	3.448639	67.989998
1503649579000	-37.818060	145.157618	132.900000	5.400000	3.499082	76.080002
1503649580000	-37.818062	145.157645	133.000000	5.400000	3.508861	85.980003
1503649581000	-37.818065	145.157665	133.500000	5.400000	3.489302	99.790001
1503649582000	-37.818068	145.157673	133.200000	5.400000	3.152159	124.559998
1503649583000	-37.818070	145.157673	132.800000	5.400000	2.808324	212.919998
1503649584000	-37.818073	145.157672	132.600000	5.400000	2.416621	141.199997
1503649585000	-37.818075	145.157670	132.500000	5.300000	1.941532	308.209991
1503649586000	-37.818077	145.157670	132.400000	5.300000	1.520489	158.289993
1503649587000	-37.818075	145.157668	132.500000	5.200000	1.095844	178.320007
1503649588000	-37.818077	145.157668	132.500000	5.200000	0.729876	146.380005
1503649589000	-37.818077	145.157668	132.600000	5.200000	0.450897	26.660000
1503649590000	-37.818077	145.157670	132.500000	5.200000	0.000000	184.440002
1503649591000	-37.818077	145.157668	132.500000	5.200000	0.000000	3.390000
1503649592000	-37.818078	145.157668	132.400000	5.200000	0.000000	8.440000
1503649593000	-37.818078	145.157668	132.400000	5.200000	0.000000	8.440000
1503649594000	-37.818078	145.157668	132.400000	5.200000	0.000000	8.440000
1503649595000	-37.818078	145.157668	132.400000	5.200000	0.000000	8.440000
1503649596000	-37.818078	145.157668	132.400000	5.200000	0.000000	8.440000
1503649597000	-37.818078	145.157668	132.400000	5.200000	0.000000	8.440000
1503649598000	-37.818078	145.157668	132.400000	5.200000	0.000000	8.440000
1503649599000	-37.818078	145.157668	132.400000	5.200000	0.000000	8.440000
1503649600000	-37.818078	145.157668	132.400000	5.200000	0.000000	8.440000
1503649601000	-37.818078	145.157668	132.400000	5.200000	0.000000	8.440000
1503649602000	-37.818088	145.157688	132.300000	5.200000	0.361850	133.729996
1503649603000	-37.818103	145.157705	132.300000	5.200000	0.624358	148.229996
1503649604000	-37.818130	145.157720	132.100000	5.200000	0.975399	163.009995
1503649605000	-37.818165	145.157723	132.000000	5.200000	1.417030	184.100006
1503649606000	-37.818207	145.157717	131.800000	5.200000	1.901384	186.589996
1503649607000	-37.818252	145.157708	131.700000	5.300000	2.396547	186.270004
1503649608000	-37.818300	145.157700	131.600000	5.300000	2.945755	186.500000
1503649609000	-37.818353	145.157692	131.000000	5.300000	3.553642	184.139999
1503649610000	-37.818412	145.157680	130.900000	5.300000	4.218663	190.830002
1503649611000	-37.818472	145.157665	130.500000	5.300000	4.782284	186.880005
1503649612000	-37.818530	145.157647	130.400000	5.400000	5.223916	195.570007
1503649613000	-37.818585	145.157628	130.000000	5.400000	5.573927	192.210007
1503649614000	-37.818635	145.157608	129.600000	5.400000	5.791140	196.679993
1503649615000	-37.818682	145.157592	129.000000	5.400000	5.900775	193.839996
1503649616000	-37.818740	145.157575	128.500000	5.400000	6.089164	192.220001
1503649617000	-37.818800	145.157558	127.700000	5.400000	6.199315	194.119995
1503649618000	-37.818860	145.157542	127.100000	5.400000	6.347554	192.429993
1503649619000	-37.818927	145.157527	127.000000	5.400000	6.498883	190.220001
1503649620000	-37.818990	145.157508	126.700000	5.400000	6.518957	189.539993
1503649621000	-37.819040	145.157490	126.100000	5.400000	6.458220	200.130005
1503649622000	-37.819100	145.157465	125.600000	5.400000	6.465426	198.339996
1503649623000	-37.819160	145.157445	125.200000	5.400000	6.502486	192.559998
1503649624000	-37.819227	145.157428	124.700000	5.400000	6.584841	191.899994
1503649625000	-37.819287	145.157407	124.000000	5.400000	6.679036	199.080002
1503649626000	-37.819347	145.157385	123.600000	5.400000	6.654329	195.449997
1503649627000	-37.819405	145.157372	123.400000	5.400000	6.669771	190.389999
1503649628000	-37.819460	145.157370	123.300000	5.400000	6.583812	185.660004
1503649629000	-37.819513	145.157353	123.900000	5.400000	6.414468	191.300003
1503649630000	-37.819582	145.157348	123.700000	5.400000	6.355275	187.789993
1503649631000	-37.819643	145.157342	123.600000	5.400000	6.369173	187.929993
1503649632000	-37.819710	145.157330	123.500000	5.400000	6.437116	189.529999
1503649633000	-37.819768	145.157327	123.600000	5.400000	6.380497	187.539993
1503649634000	-37.819817	145.157318	123.600000	5.400000	6.229168	189.639999
1503649635000	-37.819868	145.157307	123.500000	5.400000	6.167916	192.070007
1503649636000	-37.819922	145.157297	123.100000	5.400000	6.114385	189.660004
1503649637000	-37.819985	145.157265	125.800000	5.400000	6.090193	189.000000
1503649638000	-37.820042	145.157252	126.000000	5.400000	6.064972	189.029999
1503649639000	-37.820095	145.157240	125.900000	5.400000	6.037177	189.179993
1503649640000	-37.820145	145.157232	126.000000	5.400000	5.971292	190.630005
1503649641000	-37.820188	145.157233	126.300000	5.400000	5.842612	185.490005
1503649642000	-37.820242	145.157222	125.100000	5.400000	5.779301	193.039993
1503649643000	-37.820298	145.157210	125.100000	5.400000	5.843127	186.179993
1503649644000	-37.820360	145.157200	124.900000	5.400000	6.105635	190.279999
1503649645000	-37.820418	145.157190	124.700000	5.400000	6.186961	188.320007
1503649646000	-37.820475	145.157178	124.000000	5.400000	6.298656	193.149994
1503649647000	-37.820522	145.157168	122.900000	5.400000	6.251816	185.619995
1503649648000	-37.820553	145.157163	122.100000	5.400000	6.086076	184.770004
1503649649000	-37.820578	145.157158	121.100000	5.400000	5.833862	175.830002
1503649650000	-37.820592	145.157155	121.200000	5.400000	1.781454	181.770004
1503649651000	-37.820595	145.157147	120.300000	5.400000	1.234304	193.059998
1503649652000	-37.820593	145.157133	119.600000	5.400000	0.931647	210.369995
1503649653000	-37.820595	145.157123	119.000000	5.400000	0.000000	223.960007
1503649654000	-37.820613	145.157123	118.800000	5.400000	0.000000	182.839996
1503649655000	-37.820643	145.157135	119.100000	5.400000	1.504533	177.529999
1503649656000	-37.820668	145.157145	119.300000	5.400000	1.684171	158.270004
1503649657000	-37.820688	145.157155	119.200000	5.400000	1.782998	148.020004
1503649658000	-37.820708	145.157163	119.000000	5.400000	2.448534	176.470001
1503649659000	-37.820693	145.157180	122.700000	5.400000	0.621270	320.899994
1503649660000	-37.820675	145.157180	126.100000	5.400000	1.372249	265.709991
1503649661000	-37.820670	145.157165	127.600000	5.300000	1.505048	264.989990
1503649662000	-37.820673	145.157145	128.600000	5.300000	1.610051	234.490005
1503649663000	-37.820655	145.157137	130.000000	5.300000	1.765497	1.910000
1503649664000	-37.820665	145.157143	130.800000	5.300000	1.797925	207.309998
1503649665000	-37.820683	145.157142	131.500000	5.300000	1.744908	199.139999
1503649666000	-37.820707	145.157142	132.100000	5.300000	1.718143	206.570007
1503649667000	-37.820728	145.157137	132.800000	5.400000	1.701672	223.960007
1503649668000	-37.820742	145.157112	133.700000	5.400000	1.733584	243.059998
1503649669000	-37.820745	145.157078	133.800000	5.400000	2.004328	265.269989
1503649670000	-37.820748	145.157028	134.200000	5.400000	2.308014	273.859985
1503649671000	-37.820747	145.156968	134.300000	5.400000	5.746359	282.070007
1503649672000	-37.820740	145.156902	133.600000	5.400000	6.442778	281.019989
1503649673000	-37.820737	145.156832	133.200000	5.400000	6.511236	278.769989
1503649674000	-37.820737	145.156762	132.000000	5.400000	6.179240	278.649994
1503649675000	-37.820735	145.156688	131.400000	5.400000	6.270346	277.540009
1503649676000	-37.820735	145.156607	130.600000	5.300000	7.248318	274.709991
1503649677000	-37.820730	145.156527	130.200000	5.300000	7.185008	279.750000
1503649678000	-37.820723	145.156450	129.400000	5.300000	6.845291	279.570007
1503649679000	-37.820720	145.156372	128.300000	5.300000	6.602857	274.470001
1503649680000	-37.820720	145.156295	127.600000	5.300000	6.771686	274.760010
1503649681000	-37.820713	145.156220	126.700000	5.300000	6.703742	280.279999
1503649682000	-37.820705	145.156150	126.200000	5.300000	6.676462	282.140015
1503649683000	-37.820697	145.156078	125.400000	5.300000	6.687271	278.640015
1503649684000	-37.820687	145.156003	124.900000	5.300000	6.754700	281.489990
1503649685000	-37.820680	145.155932	124.500000	5.300000	6.767568	280.190002
1503649686000	-37.820672	145.155855	123.500000	5.300000	6.724846	277.890015
1503649687000	-37.820667	145.155782	123.000000	5.300000	6.650211	277.730011
1503649688000	-37.820662	145.155708	122.400000	5.300000	6.602342	276.529999
1503649689000	-37.820653	145.155638	121.700000	5.300000	6.543149	279.790009
1503649690000	-37.820648	145.155570	121.100000	5.300000	6.498368	276.059998
1503649691000	-37.820643	145.155502	120.700000	5.400000	6.387703	274.019989
1503649692000	-37.820640	145.155432	120.100000	5.400000	6.377409	277.320007
1503649693000	-37.820633	145.155363	119.600000	5.400000	6.331083	278.040009
1503649694000	-37.820628	145.155293	118.800000	5.400000	6.256963	277.420013
1503649695000	-37.820620	145.155223	118.600000	5.400000	6.228139	278.809998
1503649696000	-37.820610	145.155157	118.300000	5.400000	6.152475	282.380005
1503649697000	-37.820600	145.155088	117.900000	5.400000	6.099973	281.429993
1503649698000	-37.820590	145.155022	117.800000	5.400000	6.081958	281.470001
1503649699000	-37.820580	145.154950	117.300000	5.400000	6.090708	280.970001
1503649700000	-37.820575	145.154882	117.100000	5.400000	6.075781	274.269989
1503649701000	-37.820568	145.154812	117.000000	5.400000	6.124165	280.000000
1503649702000	-37.820560	145.154738	116.700000	5.400000	6.163799	281.140015
1503649703000	-37.820547	145.154668	116.800000	5.300000	6.190564	280.010010
1503649704000	-37.820538	145.154595	116.500000	5.300000	6.235345	279.529999
1503649705000	-37.820532	145.154522	116.100000	5.300000	6.269317	278.209991
1503649706000	-37.820525	145.154448	115.900000	5.300000	6.330054	279.170013
1503649707000	-37.820517	145.154373	115.900000	5.300000	6.404174	275.459991
1503649708000	-37.820510	145.154298	115.600000	5.300000	6.427851	277.510010
1503649709000	-37.820502	145.154225	115.500000	5.300000	6.463881	277.369995
1503649710000	-37.820493	145.154152	115.300000	5.300000	6.482926	279.079987
1503649711000	-37.820483	145.154085	115.600000	5.300000	6.456161	277.420013
1503649712000	-37.820477	145.154017	115.700000	5.300000	6.400571	275.170013
1503649713000	-37.820470	145.153950	115.800000	5.300000	6.341378	279.929993
1503649714000	-37.820460	145.153883	115.400000	5.300000	6.273435	279.489990
1503649715000	-37.820450	145.153813	115.100000	5.300000	6.236889	279.450012
1503649716000	-37.820442	145.153742	114.600000	5.300000	6.195197	277.309998
1503649717000	-37.820432	145.153668	114.200000	5.300000	6.172549	281.109985
1503649718000	-37.820422	145.153595	113.900000	5.300000	6.178211	278.619995
1503649719000	-37.820413	145.153518	113.500000	5.300000	6.193138	279.440002
